Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
MS-040;Oeste;Meio-Fio;225+880;225+782;98;-21,30281887;-52,82700577;-21,30248738;-52,82787793
MS-040;Leste;Meio-Fio;225+930;226+035;105;-21,30417489;-52,82636168;-21,30452987;-52,82542648
MS-040;Oeste;Meio-Fio;225+991;225+891;100;-21,30318877;-52,82601540;-21,30285470;-52,82691054
MS-040;Oeste;Meio-Fio;226+109;226+001;108;-21,30358252;-52,84295913;-20,30322406;-52,82592184
MS-040;Leste;Meio-Fio;226+175;226+185;10;-21,30507096;-52,82420137;-21,30512383;-52,82412727
MS-040;Oeste;Meio-Fio;226+218;226+120;98;-21,30394819;-52,82399180;-21,30361651;-52,82486626
MS-040;Leste;Meio-Fio;226+275;226+285;10;-21,30574985;-52,82359398;-21,30580685;-52,82351939
MS-040;Oeste;Meio-Fio;226+545;226+239;;-21,30615107;-52,82274118;-21,30409893;-52,82391599
MS-338;Leste;Meio-Fio;284+013;284+357;344;-21,30566201;-52,82365931;-21,30852851;-52,82490026
MS-338;Oeste;Meio-Fio;284+351;284+015;336;-21,30854282;-52,82489010;-21,30583625;-52,82346061
MS-338;Leste;Meio-Fio;286+153;286+570;417;-21,32373945;-52,82623898;-21,32727009;-52,82486258
MS-338;;DP - CONCRETO;286+335;286+335;;21182719S;;52492793W;
MS-338;Oeste;Meio-Fio;286+540;285+430;1110;-21,32728259;-52,82482957;-21,31769449;-52,82774172
MS-338;;DP - CONCRETO;286+555;286+555;;21183638S;;52493225W;
MS-338;Leste;Meio-Fio;286+820;287+115;295;-21,32939257;-52,82406360;-21,33190647;-52,82312712
MS-338;Leste;Meio-Fio;287+499;287+573;;-21,33516315;-53,82183721;-21,33578519;-52,82158683
MS-338;Oeste;Meio-Fio;287+546;286+762;784;-21,33582341;-52,8215401;-21,32915981;-52,82412575
MS-338;Oeste;Meio-Fio;288+022;287+690;332;-21,33923522;-52,81886384;-21,33703154;-52,82101796
