Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
BR-267;Oeste;Meio-Fio;160+545;161+554;1.009;-21,63203399;-53,57858906;-21,63096128;-53,58825411
BR-267;Oeste;Meio-Fio;161+577;164+489;2.912;-21,63093582;-53,58846355;-21,62763447;-53,61634252
BR-267;Oeste;Meio-Fio;164+506;167+105;2.599;-21,62761555;-53,61649924;-21,62469478;-53,64134218
BR-267;Oeste;Meio-Fio;167+128;167+221;93;-21,62467103;-53,64154727;-21,62456848;-53,64245433
BR-267;Oeste;Meio-Fio;167+238;168+442;1.204;-21,62454919;-53,64261962;-21,62319174;-53,65414071
BR-267;Oeste;Meio-Fio;168+459;168+524;;-21,62317333;-53,65429931;-21,62309902;-53,65492176
BR-267;Oeste;Meio-Fio;168+540;171+384;2.844;-21,62308033;-53,65507930;-21,61915729;-53,68215641
BR-267;Oeste;Meio-Fio;171+400;171+982;582;-21,61913464;-53,68231237;-21,61829448;-53,68786293
BR-267;Oeste;Meio-Fio;171+992;172+979;987;-21,61827921;-53,68796718;-21,61715369;-53,69738372
BR-267;Oeste;Meio-Fio;173+001;175+308;2.307;-21,61712876;-53,69760298;-21,61452494;-53,71967131
BR-267;;DP - CONCRETO;174+145;174+145;;21365440S;;53425283W;
BR-267;Oeste;Meio-Fio;175+330;176+185;855;-21,61449989;-53,71987748;-21,61353308;-53,72804752
BR-267;Oeste;Meio-Fio;176+207;176+358;151;-21,61350887;-53,72824599;-21,61333603;-53,72969099
BR-267;Oeste;Meio-Fio;176+380;176+909;529;-21,61330952;-53,72991105;-21,61269972;-53,73496665
BR-267;Oeste;Meio-Fio;176+929;178+127;1.198;-21,61267724;-53,73515736;-21,61129592;-53,74660861
BR-267;Oeste;Meio-Fio;178+150;178+883;733;-21,61126736;-53,74683895;-21,61041994;-53,75383865
BR-267;;DP - CONCRETO;178+755;178+755;;21363521S;;53453178W;
BR-267;Oeste;Meio-Fio;178+909;179+581;672;-21,61039007;-53,75408855;-21,60961440;-53,76049870
BR-267;Oeste;Meio-Fio;179+635;179+651;;-21,60954965;-53,76102081;-21,60953119;-53,76117440
BR-267;Oeste;Meio-Fio;179+673;179+843;170;-21,60950626;-53,76137316;-21,60931336;-53,76300088
BR-267;Oeste;Meio-Fio;179+867;180+720;;-21,60928393;-53,76324136;-21,60828970;-53,77139411
BR-267;;DP - CONCRETO;179+880;179+880;;21371342S;;53402609W;
BR-267;Oeste;Meio-Fio;180+646;180+720;74;-21,60837240;-53,77069882;-21,60828970;-53,77139411
BR-267;Oeste;Meio-Fio;180+759;181+949;1.190;-21,60824200;-53,77178658;-21,60686118;-53,78315718
BR-267;Oeste;Meio-Fio;181+972;182+137;165;-21,60683608;-53,78336670;-21,60664342;
BR-267;Oeste;Meio-Fio;182+154;182+737;;-21,60662455;-53,78511684;-21,60595350;-53,79068413
BR-267;Oeste;Meio-Fio;182+753;182+854;101;-21,60593185;-53,79085847;-21,60581233;-53,79181401
BR-267;Oeste;Meio-Fio;182+907;183+060;153;-21,60575328;-53,79233303;;-53,79377839
BR-267;Oeste;Meio-Fio;183+081;183+484;;-21,60559533;-53,79399824;-21,60524772;-53,79787389
BR-267;Leste;Meio-Fio;183+125;183+540;;-21,60561621;-53,79410239;-21,60525260;53,79810985
BR-267;Oeste;Meio-Fio;183+511;183+543;32;-21,60522605;-53,79811664;-21,60519707;-53,79842307
BR-267;Oeste;Meio-Fio;183+559;183+569;10;-21,60518296;-53,79857560;-21,60517298;-53,79868449
BR-267;Oeste;Meio-Fio;183+606;183+801;195;-21,60514099;-53,79903183;-21,60498030;-53,80090611
BR-267;Oeste;Meio-Fio;183+910;183+987;7;-21,60488630;-53,80195075;-21,60481795;-53,80269290
BR-267;Oeste;Meio-Fio;184+019;184+124;105;-21,60479152;-53,80298768;-21,60469864;-53,80401156
BR-267;Oeste;Meio-Fio;184+233;184+255;22;-21,60460059;-53,80505311;-21,60458228;-53,80526287
BR-267;Oeste;Meio-Fio;184+281;184+307;26;-21,60456175;-53,80549456;-21,60454026;-53,80574837
BR-267;Oeste;Meio-Fio;184+338;185+026;688;-21,60451486;-53,80604563;-21,60391816;-53,81266137
BR-267;Oeste;Meio-Fio;185+049;186+410;1361;-21,60389547;-53,81287761;-21,60273893;-53,82593421
BR-267;Leste;Meio-Fio;186+245;186+292;47;-21,60293553;-53,82404576;-21,60289497;-53,82449629
BR-267;;DP - CONCRETO;186+300;186+300;;2136519S;;53502686W;
BR-267;Oeste;Meio-Fio;186+436;187+012;576;-21,60271705;-53,82617784;-21,60222482;-53,83169424
BR-267;;DP - CONCRETO;186+500;186+500;;2136454S;;53503394W;
BR-267;Oeste;Meio-Fio;187+066;187+269;203;-21,60217501;-53,83221885;-21,60199996;-53,83416419
BR-267;Oeste;Meio-Fio;187+291;187+404;113;-21,60198215;-53,83437126;-21,60188780;-53,83545951
BR-267;Oeste;Meio-Fio;187+441;187+515;74;-21,60185602;-53,83581790;-21,60178955;-53,83653101
BR-267;Leste;Meio-Fio;187+468;187+553;85;-21,60188253;-53,83578716;-21,60180514;-53,83658643
BR-267;Oeste;Meio-Fio;187+755;187+852;97;-21,60158454;-53,83882603;-21,60159905;-53,83976710
BR-267;Oeste;Meio-Fio;187+899;187+988;;-21,60145777;-53,84019880;-21,60138337;-53,81406626
BR-267;Oeste;Meio-Fio;188+025;188+165;;-21,60135399;-53,84142575;-21,60123196;-53,84274295
BR-267;Oeste;Meio-Fio;188+264;188+309;45;-21,60114736;-53,84370263;-21,60110875;-53,84413045
BR-267;Oeste;Meio-Fio;188+348;188+493;;-21,60107672;-53,84450160;-21,60095059;-53,84589737
BR-267;Oeste;Meio-Fio;188+515;188+570;55;-21,60093180;-53,84611711;-21,60088793;-53,84662951
BR-267;Oeste;Meio-Fio;188+637;188+675;;-21,60082507;-53,84728763;-21,60079446;-53,84764298
BR-267;Oeste;Meio-Fio;188+702;188+944;242;-21,60077018;-53,84790063;-21,60056217;-53,85022647
BR-267;;DP - CONCRETO;188+820;188+820;;2136061S;;53511952W;
BR-267;Oeste;Meio-Fio;188+972;189+094;122;-21,60053907;-53,85049049;;-53,85165642
BR-267;Oeste;Meio-Fio;189+116;189+282;;-21,60041612;-53,85186940;-21,60027807;-53,85346425
BR-267;Oeste;Meio-Fio;189+377;189+514;137;-21,60019117;-53,85438272;-21,60007015;-53,85568794
BR-267;Oeste;Meio-Fio;189+589;189+645;;-21,60000936;-53,85640552;;-53,85694900
BR-267;Oeste;Meio-Fio;189+667;189+728;61;-21,59994193;-53,85715769;-21,59988771;-53,85774950
BR-267;Oeste;Meio-Fio;189+784;190+679;;-21,59984214;-53,85827656;-21,59908201;-53,86687407
BR-267;Leste;Meio-Fio;189+833;189+885;52;-21,59986107;-53,85848312;-21,59980809;-53,85897441
BR-267;Oeste;Meio-Fio;190+717;191+555;838;-21,59905046;-53,86723923;-21,59833815;-53,87529259
BR-267;;DP - CONCRETO;191+305;191+305;;21355274S;;53524662W;
BR-267;Oeste;Meio-Fio;191+572;194+010;2.438;-21,59832332;-53,87545130;-53,89792935;-53,89792935
BR-267;Leste;Meio-Fio;192+363;194+388;2;-21,59770903;-53,88276549;-21,59183005;-53,90093608
BR-267;Oeste;Meio-Fio;194+030;194+645;615;-21,59317794;-53,89810650;-21,59077610;
BR-267;Oeste;Meio-Fio;194+667;196+318;1.651;-21,59068708;-53,90327016;-21,58477259;-53,91767787
BR-267;Oeste;Meio-Fio;196+392;196+489;7;-21,58482687;-53,91838493;-21,58490666;-53,91947818
BR-267;Oeste;Meio-Fio;196+510;196+594;;-21,58492219;-53,91969835;-21,58497838;-53,92050270
BR-267;Oeste;Meio-Fio;196+610;197+006;;-21,58499062;-53,92065268;-21,58526920;-53,92447539
BR-267;Oeste;Meio-Fio;197+023;198+769;1.746;-21,58528125;-53,92463098;-21,58649192;-53,94130422
BR-267;Leste;Meio-Fio;198+571;198+780;209;-21,58637669;-53,93949870;-21,58651958;-53,94149855
BR-267;Oeste;Meio-Fio;198+796;199+318;522;-21,58651199;-53,94167221;-21,58687098;-53,94668168
BR-267;Oeste;Meio-Fio;199+334;199+965;631;-21,58688209;-53,94684006;-21,58731385;-53,95290940
BR-267;Oeste;Meio-Fio;200+015;200+986;971;-21,58734902;-53,95338966;-21,58801946;-53,96273986
BR-267;Leste;Meio-Fio;200+808;200+959;151;-21,58791729;-53,96102221;-21,58802040;-53,96248093
BR-267;Oeste;Meio-Fio;201+008;201+437;429;-21,58803479;-53,96294390;-21,58833219;-53,96705973
BR-267;Oeste;Meio-Fio;201+796;205+194;3.398;-21,58857886;-53,97052232;-21,59090849;-54,00317397
BR-267;;DP - CONCRETO;202+200;202+200;;21352149S;;53585310W;
BR-267;Oeste;Meio-Fio;205+227;208+415;3.188;-21,59093391;-53,00350929;-21,59328836;-54,03415541
BR-267;Oeste;Meio-Fio;208+420;208+784;364;-21,59329020;-54,03417861;-21,59355852;-54,03767908
BR-267;Oeste;Meio-Fio;208+907;208+981;74;-21,59365139;-54,03887159;-21,59370676;-54,03958167
BR-267;Oeste;Meio-Fio;209+416;209+575;159;-21,59402401;-54,04375761;-21,59414337;-54,04530906
BR-267;Oeste;Meio-Fio;209+620;209+690;70;-21,59417606;-54,04573120;-21,59423076;-54,04641232
BR-267;Oeste;Meio-Fio;209+809;209+877;;-21,59431448;-54,04753956;-21,59436943;-54,04821346
BR-267;Oeste;Meio-Fio;210+004;210+059;55;-21,59446038;-54,04942235;-21,59450291;-54,04996340
BR-267;Oeste;Meio-Fio;210+081;210+539;;-21,59451930;-54,05016581;-21,59485647;-54,05457715
BR-267;Oeste;Meio-Fio;210+556;210+578;22;-21,59486860;-54,05473565;-21,59488415;-54,05493931
BR-267;Oeste;Meio-Fio;210+633;210+736;103;-21,59492826;-53,05548032;-21,59500414;-54,05645976
BR-267;Oeste;Meio-Fio;210+768;210+805;37;-21,59503049;-54,05676784;-21,59506107;-54,05714095
BR-267;Oeste;Meio-Fio;210+896;210+976;;-21,59512230;-54,05799562;-21,59518366;-54,05876304
BR-267;Oeste;Meio-Fio;211+285;212+261;976;-21,59541036;-54,06174273;-21,59577141;-54,07112228
BR-267;Oeste;Meio-Fio;212+296;213+038;742;-21,59568858;-54,07143977;-21,59368166;-54,07827582
BR-267;Leste;Meio-Fio;212+988;213+283;295;-21,59384667;-54,07780735;-21,59304688;-54,08054234
BR-267;Oeste;Meio-Fio;213+055;213+188;133;-21,59363548;-54,07843238;-21,59327606;-54,07964907
BR-267;Oeste;Meio-Fio;213+216;213+354;138;-21,59320014;-54,07991337;-21,59283223;-54,08116064
BR-267;Oeste;Meio-Fio;213+390;214+480;1.090;-21,59272905;-54,08151148;-21,58978913;-54,09154832
BR-267;Leste;Meio-Fio;213+917;214+965;1;-21,59133926;-54,08636485;-21,58851159;-54,09600805
BR-267;Oeste;Meio-Fio;214+571;215+379;808;-21,58954574;-54,09237702;-21,58736438;-54,09980532
BR-267;Oeste;Meio-Fio;215+390;217+026;1.636;-21,58733380;-54,09990986;-21,57869121;-54,11203624
BR-267;;DP - CONCRETO;215+660;215+660;;21345914S;;54 62952W;
BR-267;Oeste;Meio-Fio;217+054;217+338;284;-21,57850566;-54,11219537;-21,57651816;-54,11393212
BR-267;Oeste;Meio-Fio;217+495;218+232;237;21,57541923;-54,11488155;-21,57050106;-54,11962057
BR-267;;DP - CONCRETO;218+080;218+080;;2134203S;;54 72683W;
BR-267;Oeste;Sarjeta;218+232;218+508;276;-21,57050106;-54,11962057;-21,56897654;-54,12175490
BR-267;Oeste;Meio-Fio;218+514;220+272;1.758;-21,56895123;-54,12175969;-21,55922255;-54,13516500
BR-267;Leste;Meio-Fio;219+947;219+959;12;-21,56103415;-54,13269642;-21,56097428;-54,13277859
BR-267;Oeste;Meio-Fio;220+607;222+026;1.419;-21,55736796;-54,13772075;-21,54937450;-54,14839076
BR-267;Oeste;Meio-Fio;222+080;222+902;822;-21,54907679;-54,14878543;-21,54443250;-54,15495299
BR-267;;DP - CONCRETO;222+810;222+810;;21322744S;;54 93613W;
BR-267;Oeste;Meio-Fio;223+316;223+552;236;-21,54207315;-54,15806225;21,54086769;-54,15991519
BR-267;Oeste;Meio-Fio;223+568;223+847;279;-21,54079783;-54,16004945;-21,54010606;-54,16261303
BR-267;Oeste;Meio-Fio;223+863;224+051;188;-21,54009270;-54,16278634;-21,54001850;-54,16457809
BR-267;Oeste;Meio-Fio;224+173;224+529;356;-21,53991109;-54,16574692;-21,53955687;-54,16916622
BR-267;Oeste;Meio-Fio;224+562;225+500;938;-21,53952505;-54,16947843;-21,53859627;-54,17846273
BR-267;Oeste;Meio-Fio;225+523;225+769;246;-21,53857375;-54,17868824;-21,53833224;-54,18102778
BR-267;Oeste;Meio-Fio;225+780;225+841;61;-24,53831903;-54,18115272;;
BR-267;Oeste;Meio-Fio;225+869;226+610;7a1;-21,53823105;-54,18200085;-21,53748547;-54,18908770
BR-267;Oeste;Meio-Fio;226+644;227+021;377;-21,53745058;-54,18941941;-21,53707349;-54,19300376
BR-267;Oeste;Meio-Fio;227+055;227+112;57;-21,53703794;-54,19334469;-21,53698028;-54,19388756
BR-267;Oeste;Meio-Fio;227+157;227+689;532;-21,53693380;-54,19433036;-21,53639818;-54,19942028
BR-267;Oeste;Meio-Fio;228+580;229+398;818;-21,53550856;-54,20795048;;-54,21491861
BR-267;Leste;Meio-Fio;229+695;229+872;177;-21,53073866;-54,21735320;-21,52978105;54,21873625
BR-267;Oeste;Meio-Fio;229+720;229+895;175;-21,53069100;-54,21740211;-21,52974641;
BR-267;Oeste;Meio-Fio;229+917;230+105;188;-21,52963351;-54,21892852;-21,52861774;-54,22039268
BR-267;Oeste;Meio-Fio;230+126;230+209;;-21,52851079;-54,22054748;-21,52806271;-54,22119379
BR-267;Oeste;Meio-Fio;230+231;230+364;133;-21,52794555;-54,22136333;-21,52723205;-54,22239606
BR-267;Oeste;Meio-Fio;230+414;231+176;762;-21,52696470;-54,22278414;-21,52288664;-54,22868288
BR-267;;DP - CONCRETO;230+990;230+990;;21311011S;;5414138W;
BR-267;Oeste;Meio-Fio;231+242;231+449;207;-21,52253171;-54,22919055;;-54,23080888
BR-267;Oeste;Meio-Fio;231+613;232+555;942;-21,52053794;-54,23207927;-21,51548940;-54,23937969
BR-267;Oeste;Meio-Fio;232+588;232+610;22;-21,51532400;-54,23961984;-21,51520366;-54,23979461
BR-267;Oeste;Meio-Fio;232+686;232+849;;-21,51479178;-54,24038780;-21,51391345;-54,24165540
BR-267;Oeste;Meio-Fio;232+860;233+079;219;-21,51385838;-54,24173436;-21,51269180;-54,24342785
BR-267;Oeste;Meio-Fio;233+123;233+275;152;-21,51245159;;-21,51164213;-54,24494493
BR-267;Oeste;Meio-Fio;234+138;234+201;63;-21,50701533;-54,25163661;-21,50667762;-54,25212474
BR-267;Oeste;Meio-Fio;234+324;235+714;1.390;-21,50601376;-54,25308596;-21,49857608;-54,26385233
BR-267;Oeste;Meio-Fio;235+724;236+310;586;-21,49851296;-54,26394433;-54,26847512;-54,26847512
BR-267;Oeste;Meio-Fio;236+331;236+575;244;-21,49527389;-54,26863845;-21,49397160;-54,27052834
BR-267;Oeste;Meio-Fio;236+629;236+848;219;-21,49368355;-54,27094485;-21,49251193;-54,27264417
BR-267;Oeste;Meio-Fio;236+895;237+253;;-21,49225632;-54,27301854;-21,49033850;-54,27580003
BR-267;Oeste;Meio-Fio;237+460;238+254;794;-21,48923570;-54,27740193;-21,48703079;-54,28447053
BR-267;Oeste;Meio-Fio;238+341;239+539;1.198;-21,48694703;-54,28531720;-21,48580849;-54,29678211
BR-267;Oeste;Meio-Fio;239+585;240+137;552;-21,48576355;-54,29724616;-21,48522701;-54,30253655
BR-267;Oeste;Meio-Fio;240+339;241+427;1.088;-21,48503625;-54,30446051;-21,48400823;-54,31487604
BR-267;Oeste;Meio-Fio;241+449;241+574;125;-21,48398940;-54,31508239;-21,48386821;-54,31627856
BR-267;Oeste;Meio-Fio;241+585;242+756;1171;-21,48385792;-54,31638371;;
BR-267;Oeste;Meio-Fio;242+831;244+696;1.865;-21,48267559;-54,32831408;-21,48089406;-54,34615669
BR-267;Oeste;Meio-Fio;244+712;244+813;101;-21,48086896;-54,34633425;-21,48071195;-54,34729362
BR-267;Oeste;Meio-Fio;244+813;245+041;228;-21,48071195;-54,34729362;-21,48035650;-54,34944140
BR-267;Oeste;Meio-Fio;245+041;245+188;147;-21,48035650;-54,34944140;-21,48012256;
BR-267;Oeste;Meio-Fio;245+205;245+674;;-21,48009661;;;-54,35543409
BR-267;Oeste;Meio-Fio;245+690;246+402;712;-21,47921864;-54,35558340;-21,47754651;-54,36218319
BR-267;;DP - CONCRETO;246+228;246+228;;21283321S;;5422636W;
BR-267;Oeste;Meio-Fio;246+472;247+095;;-21,47738034;-54,36284796;-21,47591431;-54,36862840
MS-040;Oeste;Meio-Fio;0+160;0+140;20;-20,55452181;-54,55575324;-20,55448669;-54,55593608
MS-040;;DP - CONCRETO;0+200;0+200;;;;;
MS-040;Leste;Meio-Fio;0+207;0+269;62;-20,55501559;-54,55584558;-20,55539274;-54,55540692
MS-040;Leste;Meio-Fio;0+217;0+243;26;-20,5512458;-54,55574963;-20,5527695;-54,55557105
MS-040;Leste;Meio-Fio;0+258;0+290;32;-20,5553302;-54,55548705;-20,55553401;-54,55528098
MS-040;Oeste;Meio-Fio;0+321;0+171;150;-20,55583917;-54,55510469;-20,55458686;-54,55568427
MS-040;Leste;Meio-Fio;2+373;3+370;997;-20,57258755;-54,5495253;-20,57340804;-54,54821098
MS-040;;DP - CONCRETO;2+500;2+500;;;;;
MS-040;Oeste;Meio-Fio;2+592;1+943;649;-20,57371008;-54,54770760;-20,56971293;-54,55178454
MS-040;Oeste;Meio-Fio;3+351;2+608;743;-20,57869687;-54,54276694;-20,57379342;-54,54757399
MS-040;Leste;Meio-Fio;4+091;4+151;60;-20,58497618;-54,54076708;-20,58552368;-54,54068747
MS-040;Oeste;Meio-Fio;4+186;4+047;139;-20,58586896;-54,54058165;-20,5846286;-54,54077609
MS-040;Leste;Meio-Fio;4+212;4+372;160;-20,58604727;-54,54055359;-20,58740691;-54,54004719
MS-040;Oeste;Meio-Fio;4+307;4+217;90;-20,58689603;-54,54022245;-20,58613403;-54,54050145
MS-040;Leste;Meio-Fio;4+372;4+523;151;-20,58740691;-54,54004719;-20,588685;-54,53954581
MS-040;Leste;Meio-Fio;4+528;4+585;57;-20,58873995;-54,53952486;-20,5892089;-54,53934246
MS-040;Leste;Meio-Fio;4+596;4+646;50;-20,58931624;-54,5393006;-20,58972292;-54,53914188
MS-040;Oeste;Meio-Fio;4+649;4+317;332;-20,58980065;-54,53909145;-20,58698483;-54,54018837
MS-040;Leste;Meio-Fio;6+656;6+666;10;-20,60673335;-54,53247592;-20,60681539;-54,53244167
MS-040;Leste;Meio-Fio;7+481;7+745;264;-20,61367254;-54,2960717;-20,61590271;-54,2874437
MS-040;;DP - CONCRETO;7+727;7+727;;20365754S;;54314339W;
MS-040;Oeste;Meio-Fio;7+746;7+468;278;-20,61594433;-54,52869787;-20,61358549;-54,52960847
MS-040;Leste;Meio-Fio;7+761;7+974;213;-20,61603911;-54,52868774;-20,61783781;-54,52796079
MS-040;Oeste;Meio-Fio;7+864;7+761;103;-20,61694802;-54,52830851;-20,61607823;-54,52864638
MS-040;Oeste;Meio-Fio;7+959;7+869;90;-20,61774100;-54,52797518;-20,61697640;-54,52829709
MS-040;Leste;Meio-Fio;8+003;8+047;44;-20,61806507;-54,52785921;-20,61843841;-54,52769639
MS-040;Oeste;Meio-Fio;8+046;8+004;42;-20,61847184;-54,52765258;-20,61810969;-54,52781138
MS-040;Leste;Meio-Fio;16+045;16+192;147;-20,66925397;-54,47991515;-20,67035307;-54,47907734
MS-040;Oeste;Meio-Fio;16+194;16+047;147;-20,67038481;-54,47903174;-20,66930485;-54,47985249
MS-040;Leste;Meio-Fio;16+208;16+362;154;-20,67047247;-54,4789863;-20,6715975;-54,47813021
MS-040;Oeste;Meio-Fio;16+371;16+210;161;-20,67168319;-54,47804297;-20,67051260;-54,47893497
MS-040;Leste;Meio-Fio;16+455;16+505;50;-20,67228343;-54,4776057;-20,67260702;-54,47735884
MS-040;Leste;Meio-Fio;16+505;16+658;153;-20,67260702;-54,47735884;-20,67378824;-54,47649166
MS-040;Oeste;Meio-Fio;16+573;16+562;11;-20,67316635;-54,47691317;-20,67308745;-54,47697282
MS-040;Oeste;Meio-Fio;16+605;16+583;22;-20,67338847;-54,47674503;-20,67323154;-54,47686321
MS-040;Oeste;Meio-Fio;16+647;16+459;188;-20,67371874;-54,47651096;-20,67232921;-54,47754836
MS-040;Oeste;Meio-Fio;18+608;18+255;353;-20,69040003;-54,47043824;-20,68757712;-54,47200207
MS-040;;DP - CONCRETO;19+550;19+550;;20414414S;;54274989W;
MS-040;Oeste;Meio-Fio;19+995;18+778;1217;-20,69460088;-54,45980469;-20,69175975;-54,46967983
MS-040;Leste;Meio-Fio;20+531;20+928;397;-20,6928208;-54,45511437;-20,691473;-54,451569
MS-040;Oeste;Meio-Fio;21+163;20+329;834;-20,69066738;-54,44940402;-20,69347490;-54,45684202
MS-040;Leste;Meio-Fio;21+894;22+944;1050;-20,68831212;-54,44294906;-20,68521511;-54,43343607
MS-040;;DP - CONCRETO;22+090;22+090;;20411447S;;54262476W;
MS-040;Oeste;Meio-Fio;22+772;21+391;1381;-20,68556506;-54,43496811;-20,68993001;-54,44736852
MS-040;Leste;Meio-Fio;23+295;24+039;744;-20,6846106;-54,43109050;-20,68363283;-54,42303799
MS-040;Leste;Meio-Fio;24+050;25+920;187;-20,68362316;-54,42297028;-20,68099335;-54,40524565
MS-040;Oeste;Meio-Fio;25+471;24+068;1403;-20,68161551;-54,40942518;-20,68358345;-54,42269898
MS-040;Leste;Meio-Fio;25+920;25+931;11;-20,68099335;-54,40524565;-20,68097816;-54,40514192
MS-040;Leste;Meio-Fio;25+953;26+563;610;-20,68094758;-54,40493508;-20,6800819;-54,39913697
MS-040;Oeste;Meio-Fio;26+550;25+685;865;-20,68009163;-54,39920666;-20,68131000;-54,40739009
MS-040;Leste;Meio-Fio;26+878;27+298;420,000;-20,6799142;-54,39613329;-20,68127297;-54,39241539
MS-040;Leste;Meio-Fio;27+346;27+472;126;-20,68149852;-54,39201817;-20,68207823;-54,39099677
MS-040;Leste;Meio-Fio;27+472;27+493;21;-20,68207823;-54,39099677;-20,68218669;-54,39080662
MS-040;Leste;Meio-Fio;27+493;27+680;187;-20,68218669;-54,39080662;-20,68305842;-54,38926964
MS-040;Leste;Meio-Fio;27+874;29+407;1533;-20,68395754;-54,38768632;-20,69108443;-54,37510526
MS-040;Leste;Meio-Fio;29+407;29+412;5;-20,69108443;-54,37510526;-20,6911705;-54,37504833
MS-040;Leste;Meio-Fio;29+412;29+472;60;-20,6911705;-54,37504833;-20,6913972;-54,3745552
MS-040;;DP - CONCRETO;29+470;29+470;;20413044S;;54222563W;
MS-040;Leste;Meio-Fio;29+472;29+493;21;-20,6913972;-54,3745552;-20,69149287;-54,37438582
MS-040;Leste;Meio-Fio;29+493;29+773;280;-20,69149287;-54,37438582;-20,69260887;-54,37241029
MS-040;Leste;Meio-Fio;30+120;30+214;94;-20,69440055;-54,36922920;-20,69483454;-54,6845674
MS-040;Leste;Meio-Fio;30+214;30+230;16;-20,69483454;-54,6845674;-20,69490698;-54,36832694
MS-040;Leste;Meio-Fio;30+230;31+166;936;-20,69490698;-54,36832694;-20,69923409;-54,36065154
MS-040;Leste;Meio-Fio;31+227;31+244;;-20,69951394;-54,36011667;-20,69959412;-54,35997515
MS-040;Leste;Meio-Fio;31+753;32+052;299;-20,70083619;-54,35535484;-20,7006427;-54,35249429
MS-040;Leste;Meio-Fio;32+108;32+135;27;-20,70060165;-54,35195876;-20,70058159;-54,35171142
MS-040;Leste;Meio-Fio;32+146;32+887;741;-20,70057326;-54,35160815;-20,70003159;-54,34451204
MS-040;Leste;Meio-Fio;32+403;32+590;187;-20,70038399;-54,34912546;-20,70024697;-54,3473429
MS-040;Leste;Meio-Fio;32+606;32+958;352;-20,7002358;-54,34719077;-20,69998194;-54,34384305
MS-040;Leste;Meio-Fio;32+936;34+814;1878;-20,69997728;-54,34377612;-20,69852939;-54,32606494
MS-040;Leste;Meio-Fio;34+828;35+054;;-20,69851935;-54,32595298;-20,69833893;-54,32380989
MS-040;Leste;Meio-Fio;35+076;35+607;531;-20,69832045;-54,32358322;-20,6978893;-54,31850905
MS-040;Leste;Meio-Fio;35+607;35+613;6;-20,6978893;-54,31850905;-20,69788551;-54,31846669
MS-040;Leste;Meio-Fio;35+613;36+001;388;-20,6978893;-54,31850905;-20,69757046;-54,31475498
MS-040;Leste;Meio-Fio;36+001;36+013;;-20,69757046;-54,31475498;-20,69755862;-54,31462034
MS-040;Leste;Meio-Fio;36+013;36+045;;-20,69755862;-54,31462034;-20,69753664;-54,31435236
MS-040;Leste;Meio-Fio;36+323;36+924;601;-20,69730825;-54,31166943;-20,69681945;-54,30592824
MS-040;Leste;Meio-Fio;37+807;38+040;233;-20,69610014;-54,29749956;-20,69591107;-54,29526432
MS-040;Leste;Meio-Fio;38+065;38+159;94;-20,69580956;-54,29501161;-20,69581548;-54,2941264
MS-040;Leste;Meio-Fio;38+159;38+180;21;-20,69581548;-54,2941264;-20,69579602;-54,29391385
MS-040;Leste;Meio-Fio;38+180;38+271;91;-20,69579602;-54,29391385;-20,6957211;-54,29304818
MS-040;Leste;Meio-Fio;38+276;38+683;407;-20,69571753;-54,29300426;-20,69538854;-54,28913238
MS-040;;DP - CONCRETO;38+487;38+487;;20414367S;;54172417W;
MS-040;Leste;Meio-Fio;38+934;40+644;1710,000;-20,6949067;-54,28678664;-20,69082565;-54,27121287
MS-040;Leste;Meio-Fio;40+660;43+054;2394;-20,69087646;-54,27107490;-20,70099853;-54,2507945
MS-040;;DP - CONCRETO;42+202;42+202;;20415229S;;54152551W;
MS-040;Leste;Meio-Fio;43+054;43+075;21;-20,70099853;-54,25079450;-20,70108524;-54,25062242
MS-040;Leste;Meio-Fio;43+075;44+025;950;-20,70108524;-54,25062242;-20,70512024;-54,24256392
MS-040;Leste;Meio-Fio;44+047;44+602;555;-20,70520697;-54,24239594;-20,70772587;-54,23778861
MS-040;Leste;Meio-Fio;44+602;44+809;207;-20,70772587;-54,23778861;-20,70883691;-54,23620053
MS-040;Leste;Meio-Fio;47+653;47+930;277;-20,72413508;-54,21429945;-20,72562271;-54,21217037
MS-040;Leste;Meio-Fio;48+291;50+888;2597;-20,72757449;-54,20937564;-20,74323358;-54,1911351
MS-040;Leste;Meio-Fio;48+341;48+870;529;-20,72783289;-54,20900521;-20,73067658;-54,20492581
MS-040;Leste;Meio-Fio;48+898;50+888;1990;-20,73082663;-54,20471400;-20,74323358;-54,1911351
MS-040;;DP - CONCRETO;49+765;49+765;;2044997S;;54114997W;
MS-040;;DP - CONCRETO;50+491;50+491;;20442791S;;54113413W;
MS-040;Leste;Meio-Fio;51+212;52+210;998;-20,74559353;-54,18930621;-20,75302963;-54,18398244
MS-040;Leste;Meio-Fio;52+852;52+874;22;-20,75845119;-54,18180025;-20,75862659;-54,18172931
MS-040;Leste;Meio-Fio;52+874;53+533;659;-20,7562659;-54,18172931;-20,76420197;-54,17947986
MS-040;Leste;Meio-Fio;53+544;53+672;128;-20,76429431;-54,17944223;-20,76536936;-54,1790116
MS-040;Leste;Meio-Fio;53+970;54+331;361;-20,76787546;-54,17799968;-20,7709268;-54,17676846
MS-040;;DP - CONCRETO;54+092;54+092;;20461119S;;54103804W;
